Source,Target,Collaborations,Weight,Publication Type,Publication Name,Publication Date,Title,Co-authors,Keywords
clme0667,raob0202,20,3.681421356421356,Journal article|Conference paper|Journal article|Conference paper|Conference paper|Journal article|Conference paper|Journal article|Journal article|Journal article|Journal article|Conference paper|Journal article|Journal article|Journal article|Journal article|Conference paper|Conference paper|Conference paper|Journal article,"Oncotarget|Strahlentherapie und Onkologie: Zeitschrift fuer Radiologie, Strahlenbiologie, Strahlenphysik|Cancer Research|Modern Pathology|Strahlentherapie und Onkologie: Zeitschrift fuer Radiologie, Strahlenbiologie, Strahlenphysik|Biochimica et Biophysica Acta: international journal of biochemistry and biophysics|Strahlentherapie und Onkologie: Zeitschrift fuer Radiologie, Strahlenbiologie, Strahlenphysik|Cancer Biology and Therapy|Radiotherapy and Oncology|Cancer Treatment Reviews|Radiotherapy and Oncology|Strahlentherapie und Onkologie: Zeitschrift fuer Radiologie, Strahlenbiologie, Strahlenphysik|Cell Death and Disease|Cancer and Metastasis Reviews|Radiation Oncology|Strahlentherapie und Onkologie: Zeitschrift fuer Radiologie, Strahlenbiologie, Strahlenphysik|Strahlentherapie und Onkologie: Zeitschrift fuer Radiologie, Strahlenbiologie, Strahlenphysik|Strahlentherapie und Onkologie: Zeitschrift fuer Radiologie, Strahlenbiologie, Strahlenphysik|Laboratory Investigation|Cancer and Metastasis Reviews",|01/05/2013|22/11/2011|01/02/2016|01/06/2012|06/12/2014|01/06/2012|01/09/2012||11/04/2013|03/05/2013|01/05/2013|01/01/2012|24/07/2012|27/03/2012|05/04/2013|01/05/2013|01/05/2013|01/02/2016|01/01/2012,"The prognostic role of desmoplastic stroma in pancreatic ductal adenocarcinoma.|A comprehensive comparison of IMAT and 3D-CRT plan quality for gastrointestinal organ sparing and NTCP using the Eclipse Radiobiological modelling software|Dual inhibition of the PI3K/mTOR pathway increases tumor radiosensitivity by normalizing tumor vasculature.|The Prognostic Role of Desmoplastic Stroma in Pancreatic Cancer|The novel ATR inhibitor VE-821 selectively sensitizes pancreatic cancer cells to radiation and chemotherapy|Pancreatic ductal adenocarcinoma: From genetics to biology to radiobiology to oncoimmunology and all the way back to the clinic.|A comparison of four target volume definitions for pancreatic cancer: Two concepts including the lymphatics (RTOG and German multi-centre neoadjuvant trial) and two concepts only treating the primary tumour (Michigan and UK-SCALOP)|The novel ATR inhibitor VE-821 increases sensitivity of pancreatic cancer cells to radiation and chemotherapy.|ARCII: A phase II trial of the HIV protease inhibitor Nelfinavir in combination with chemoradiation for locally advanced inoperable pancreatic cancer.|Targeting ATR in DNA damage response and cancer therapeutics.|A treatment planning comparison of four target volume contouring guidelines for locally advanced pancreatic cancer radiotherapy.|ATR targeting by the novel inhibitor VE-822 selectively sensitizes pancreatic cancer cells and tumors to radiation and chemoradiation|Targeting ATR in vivo using the novel inhibitor VE-822 results in selective sensitization of pancreatic tumors to radiation.|The impact of tumor microenvironment on cancer treatment and its modulation by direct and indirect antivascular strategies.|NVP-BEZ235 and NVP-BGT226, dual phosphatidylinositol 3-kinase/mammalian target of rapamycin inhibitors, enhance tumor and endothelial cell radiosensitivity.|Comparison of four target volume definitions for pancreatic cancer. Guidelines for treatment of the lymphatics and the primary tumor.|A comprehensive dosimetric comparison of four target volume definitions for pancreatic cancer and their influence on lymphatics and organs at risk|Dose- and schedule-dependent changes in vascular morphology after PI3K and PI3K/mTOR inhibition: in vitro vs. in vivo effects|The Prognostic Role of Desmoplastic Stroma in Pancreatic Cancer|The impact of tumor microenvironment on cancer treatment and its modulation by direct and indirect antivascular strategies","Wang LM,Silva MA,D'Costa Z,Bockelmann R,Soonawalla Z,Liu S,O'Neill E,Mukherjee S,McKenna WG,Muschel R,Fokas E|Warren S,Fokas E,Partridge M,Eccles CE,McKenna WG,Brunner T|Fokas E,Im JH,Hill S,Yameen S,Stratford M,Beech J,Hackl W,Maira SM,Bernhard EJ,McKenna WG,Muschel RJ|Wang LM,Silva M,D'Costa Z,Bockelmann R,Soonawalla Z,O'Neill E,Mukherjee S,McKenna WG,Muschel R,Fokas E|Fokas E,Prevo R,Reaper P,Charlton P,Pollard J,McKenna WG,Muschel R,Brunner T|Fokas E,O'Neill E,Gordon-Weeks A,Mukherjee S,McKenna WG,Muschel RJ|Fokas E,Eccles C,McKenna WG,Brunner T|Prevo R,Fokas E,Reaper PM,Charlton PA,Pollard JR,McKenna WG,Muschel RJ,Brunner TB|Wilson JM,Fokas E,Dutton SJ,Patel N,Hawkins MA,Eccles C,Chu KY,Durrant L,Abraham AG,Partridge M,Woodward M,O'Neill E,Maughan T,McKenna WG,Mukherjee S,Brunner TB|Fokas E,Prevo R,Hammond EM,Brunner TB,McKenna WG,Muschel RJ|Fokas E,Eccles C,Patel N,Chu KY,Warren S,McKenna WG,Brunner TB|Fokas E,Prevo R,Pollard JR,Reaper PM,Charlton P,Cornelissen B,Vallis K,Hammond EM,Olcina MM,McKenna WG,Muschel RJ,Brunner TB|Fokas E,Prevo R,Pollard JR,Reaper PM,Charlton PA,Cornelissen B,Vallis KA,Hammond EM,Olcina MM,Gillies McKenna W,Muschel RJ,Brunner TB|Fokas E,McKenna WG,Muschel RJ|Fokas E,Yoshimura M,Prevo R,Higgins G,Hackl W,Maira SM,Bernhard EJ,McKenna WG,Muschel RJ|Fokas E,Eccles C,Patel N,Chu KY,Warren S,Gillies McKenna W,Brunner TB|Fokas E,Eccles CE,Patel N,Chu K-Y,Warren S,McKenna WG,Brunner TB|Fokas E,Lechterier T,Hackl W,S-M M,McKenna WG,Hodivala-Dilke K,Muschel RJ|Wang LM,Silva M,D'Costa Z,Bockelmann R,Soonawalla Z,O'Neill E,Mukherjee S,McKenna WG,Muschel R,Fokas E|Fokas E,McKenna WG,Muschel RJ","||Animals,Dose-Response Relationship,Drug,Humans,Mice,Neoplasms,Experimental,Neovascularization,Pathologic,Phosphatidylinositol 3-Kinases,Radiation Tolerance,TOR Serine-Threonine Kinases,Xenograft Model Antitumor Assays|||Animals,Humans,Mice,Carcinoma,Pancreatic Ductal,Pancreatic Neoplasms,Cell Transformation,Neoplastic,Disease Models,Animal,Inflammation,Cancer Vaccines,Immunotherapy,Drug Resistance,Neoplasm,Radiation Tolerance,Neoplastic Cells,Circulating||Antineoplastic Combined Chemotherapy Protocols,Ataxia Telangiectasia Mutated Proteins,Cell Cycle Checkpoints,Cell Cycle Proteins,Cell Hypoxia,Cell Line,Tumor,Combined Modality Therapy,DNA Damage,DNA Repair,Deoxycytidine,Humans,Pancreatic Neoplasms,Phosphorylation,Protein-Serine-Threonine Kinases,Pyrazines,Radiation-Sensitizing Agents,Signal Transduction,Sulfones||ATR,Cancer,Chemotherapy,DNA damage,Radiation,Replication stress,Therapeutics,Animals,Antineoplastic Agents,Ataxia Telangiectasia Mutated Proteins,Clinical Trials as Topic,Combined Modality Therapy,DNA Damage,DNA Replication,Humans,Molecular Targeted Therapy,Neoplasms,Protein Kinase Inhibitors,Protein Kinases,Signal Transduction|Adenocarcinoma,Carcinoma,Pancreatic Ductal,Humans,Organs at Risk,Pancreatic Neoplasms,Practice Guidelines as Topic,Radiotherapy Dosage,Radiotherapy Planning,Computer-Assisted,Tumor Burden||Animals,Ataxia Telangiectasia Mutated Proteins,Cell Cycle Proteins,Cell Line,Tumor,Cell Survival,DNA Damage,Female,Humans,Isoxazoles,Mice,Inbred BALB C,Pancreatic Neoplasms,Phosphorylation,Protein Kinase Inhibitors,Protein Kinases,Protein-Serine-Threonine Kinases,Pyrazines,Radiation Tolerance,Radiation-Sensitizing Agents|Angiogenesis Inhibitors,Animals,Cell Hypoxia,Humans,Neoplasm Invasiveness,Neoplasm Metastasis,Neoplasms,Neovascularization,Pathologic,Phosphatidylinositol 3-Kinases,TOR Serine-Threonine Kinases,Tumor Microenvironment,Vascular Endothelial Growth Factor A|Cell Line,Tumor,Endothelial Cells,Human Umbilical Vein Endothelial Cells,Humans,Imidazoles,Phosphatidylinositol 3-Kinases,Quinolines,Radiation-Sensitizing Agents,TOR Serine-Threonine Kinases|Carcinoma,Pancreatic Ductal,Germany,Humans,Imaging,Three-Dimensional,Lymphatic Metastasis,Pancreatic Neoplasms,Practice Guidelines as Topic,Reproducibility of Results,Sensitivity and Specificity,Tomography,X-Ray Computed,Tumor Burden||||"
clme0485,clme0497,1,0.1,Journal article,Nature Reviews Drug Discovery,01/03/2015,Preclinical target validation using patient-derived cells.,"Edwards AM,Arrowsmith CH,Bountra C,Bunnage ME,Feldmann M,Knight JC,Patel DD,Prinos P,Taylor MD,Sundström M,SGC Open Source Target-Discovery Partnership","SGC Open Source Target-Discovery Partnership,Cell Line,Humans,Drug Evaluation,Preclinical,Patients,Public-Private Sector Partnerships,Primary Cell Culture,Translational Medical Research"
clme0220,phys0101,6,1.5833333333333333,Journal article|Journal article|Journal article|Journal article|Journal article|Journal article,PLoS One|Journal of Cellular Physiology|Current Pharmaceutical Design|Clinical Cancer Research|Journal of Biological Chemistry|Philosophical Transactions of the Royal Society of London: Biological Sciences,01/01/2012|04/09/2012|23/02/2012|12/04/2012|24/07/2014|01/01/2014,"Importance of intracellular pH in determining the uptake and efficacy of the weakly basic chemotherapeutic drug, doxorubicin.|Regulation of intracellular pH in cancer cell lines under normoxia and hypoxia.|Acid-extrusion from tissue: the interplay between membrane transporters and pH buffers.|Carbonic anhydrase IX promotes tumor growth and necrosis in vivo and inhibition enhances anti-VEGF therapy.|Intracellular carbonic anhydrase activity sensitizes cancer cell pH signaling to dynamic changes in CO2 partial pressure.|The chemistry, physiology and pathology of pH in cancer.","Swietach P,Hulikova A,Patiar S,Vaughan-Jones RD,Harris AL|Hulikova A,Harris AL,Vaughan-Jones RD,Swietach P|Hulikova A,Harris AL,Vaughan-Jones RD,Swietach P|McIntyre A,Patiar S,Wigfield S,Li JL,Ledaki I,Turley H,Leek R,Snell C,Gatter K,Sly WS,Vaughan-Jones RD,Swietach P,Harris AL|Hulikova A,Aveyard N,Harris AL,Vaughan-Jones RD,Swietach P|Swietach P,Vaughan-Jones RD,Harris AL,Hulikova A","Antibiotics,Antineoplastic,Binding Sites,Cell Nucleus,Cell Proliferation,Doxorubicin,HCT116 Cells,Humans,Hydrogen-Ion Concentration,Models,Chemical|Acids,Biological Transport,Cation Transport Proteins,Cell Hypoxia,Cell Line,Tumor,Down-Regulation,HCT116 Cells,HT29 Cells,HeLa Cells,Homeostasis,Humans,Hydrogen-Ion Concentration,Neoplasms,Oxygen,Sodium-Hydrogen Antiporter|Acid-Base Equilibrium,Buffers,Cell Membrane,Humans,Hydrogen-Ion Concentration,Membrane Transport Proteins|Angiogenesis Inhibitors,Animals,Antibodies,Monoclonal,Humanized,Antigens,Neoplasm,Bevacizumab,Carbonic Anhydrases,Cell Line,Tumor,Cell Proliferation,Female,Gene Knockdown Techniques,Glioblastoma,HCT116 Cells,HT29 Cells,Humans,Hydrogen-Ion Concentration,Mice,Necrosis,Neoplasm Transplantation,Transfection,Transplantation,Heterologous|HCT116 Cells,Cytoplasm,Humans,Neoplasms,Carbon Dioxide,Bicarbonates,Protons,Carbonic Anhydrases,Signal Transduction,Hydrogen-Ion Concentration,Partial Pressure|buffering,carbonic anhydrase,diffusion,pH regulation,pH sensing,Acid-Base Equilibrium,Carbonic Anhydrases,Humans,Hydrogen-Ion Concentration,Membrane Transport Proteins,Neoplasms,Oxygen,Proton Pumps,Tumor Microenvironment"
immd0082,quee1607,1,0.009174311926605505,Journal article,Nature Genetics,18/05/2015,Factors influencing success of clinical genome sequencing across a broad spectrum of disorders.,"Taylor JC,Martin HC,Lise S,Broxholme J,Cazier JB,Rimmer A,Kanapin A,Lunter G,Fiddy S,Allan C,Aricescu AR,Attar M,Babbs C,Becq J,Beeson D,Bento C,Bignell P,Blair E,Buckle VJ,Bull K,Cais O,Cario H,Chapel H,Copley RR,Cornall R,Craft J,Dahan K,Davenport EE,Dendrou C,Devuyst O,Fenwick AL,Flint J,Fugger L,Gilbert RD,Goriely A,Green A,Greger IH,Grocock R,Gruszczyk AV,Hastings R,Hatton E,Higgs D,Hill A,Holmes C,Howard M,Hughes L,Humburg P,Johnson D,Karpe F,Kingsbury Z,Kini U,Knight JC,Krohn J,Lamble S,Langman C,Lonie L,Luck J,McCarthy D,McGowan SJ,McMullin MF,Miller KA,Murray L,Németh AH,Nesbit MA,Nutt D,Ormondroyd E,Oturai AB,Pagnamenta A,Patel SY,Percy M,Petousi N,Piazza P,Piret SE,Polanco-Echeverry G,Popitsch N,Powrie F,Pugh C,Quek L,Robbins PA,Robson K,Russo A,Sahgal N,van Schouwenburg PA,Schuh A,Silverman E,Simmons A,Sørensen PS,Sweeney E,Taylor J,Thakker RV,Tomlinson I,Trebes A,Twigg SR,Uhlig HH,Vyas P,Vyse T,Wall SA,Watkins H,Whyte MP,Witty L,Wright B,Yau C,Buck D,Humphray S,Ratcliffe PJ,Bell JI,Wilkie AO,Bentley D,Donnelly P,McVean G","Humans,Genetic Diseases,Inborn,Molecular Diagnostic Techniques,Sensitivity and Specificity,DNA Mutational Analysis,Base Sequence,Polymorphism,Single Nucleotide,Genome,Human,Molecular Sequence Annotation,High-Throughput Nucleotide Sequencing"
ndos0159,ndos0168,1,0.2,Journal article,Biomedical Materials,10/05/2011,Improved human tenocyte proliferation and differentiation in vitro by optimized silk degumming.,"Wang X,Qiu Y,Carr AJ,Triffitt JT,Sabokbar A,Xia Z","Animals,Bombyx,Carmine,Cell Differentiation,Cell Proliferation,Gene Expression Regulation,Humans,Materials Testing,Microscopy,Electron,Scanning,Oxazines,Picrates,Silk,Stress,Mechanical,Tendon Injuries,Tendons,Tissue Engineering,Xanthenes"
univ0247,whgu0172,1,0.125,Journal article,Proteomics,05/06/2015,Expanding the yeast protein arginine methylome.,"Plank M,Fischer R,Geoghegan V,Charles PD,Konietzny R,Acuto O,Pears C,Schofield CJ,Kessler BM","Arginine,Saccharomyces cerevisiae Proteins,Proteome,Isotope Labeling,Systems Biology,Amino Acid Sequence,Methylation,Molecular Sequence Data,Tandem Mass Spectrometry"
clab0127,whgu0172,5,0.5197802197802198,Journal article|Journal article|Journal article|Journal article|Journal article,Science Advances|Cell Death and Differentiation|Cell Death and Differentiation|Molecular Cell|The EMBO Journal,04/02/2016|29/08/2014|24/05/2013|25/09/2013|10/02/2012,Citrullination-acetylation interplay guides E2F-1 activity during the inflammatory response.|Cofactor Strap regulates oxidative phosphorylation and mitochondrial p53 activity through ATP synthase.|A regulatory circuit that involves HR23B and HDAC6 governs the biological response to HDAC inhibitors.|Arginine methylation-dependent reader-writer interplay governs growth control by E2F-1.|Arginine methylation controls growth regulation by E2F-1.,"Ghari F,Quirke AM,Munro S,Kawalkowska J,Picaud S,McGouran J,Subramanian V,Muth A,Williams R,Kessler B,Thompson PR,Fillipakopoulos P,Knapp S,Venables PJ,La Thangue NB|Maniam S,Coutts AS,Stratford MR,McGouran J,Kessler B,La Thangue NB|New M,Olzscha H,Liu G,Khan O,Stimson L,McGouran J,Kerr D,Coutts A,Kessler B,Middleton M,La Thangue NB|Zheng S,Moehlenbrink J,Lu YC,Zalmas LP,Sagum C,Carr S,McGouran JF,Alexander L,Fedorov O,Munro S,Kessler B,Bedford MT,Yu Q,La Thangue NB|Cho EC,Zheng S,Munro S,Liu G,Carr SM,Moehlenbrink J,Lu YC,Stimson L,Khan O,Konietzny R,McGouran J,Coutts AS,Kessler B,Kerr DJ,Thangue NB","Cell Line,HL-60 Cells,Animals,Mice,Inbred DBA,Humans,Arthritis,Experimental,Inflammation,Hydrolases,Citrulline,Nuclear Proteins,Recombinant Proteins,Transcription Factors,RNA,Small Interfering,Cytokines,Gene Expression Regulation,Acetylation,Male,E2F1 Transcription Factor,Promoter Regions,Genetic|Hela Cells,Mitochondria,Humans,Mitochondrial Proton-Translocating ATPases,Glucose,Neoplasm Proteins,Apoptosis,Oxidative Phosphorylation,Oxygen Consumption,Tumor Suppressor Protein p53,Transcriptional Activation|Apoptosis,Autophagy,Biomarkers,Tumor,Cell Line,DNA Repair Enzymes,DNA-Binding Proteins,Gene Expression Regulation,Neoplastic,Histone Deacetylase Inhibitors,Histone Deacetylases,Humans,RNA,Small Interfering,Transfection,Ubiquitin|Amino Acid Motifs,Apoptosis,Arginine,Cell Line,Tumor,Cell Proliferation,Chromatin Assembly and Disassembly,Cyclin A,DNA Damage,E2F1 Transcription Factor,Gene Expression Regulation,Humans,Methylation,Promoter Regions,Genetic,Protein Binding,Protein Processing,Post-Translational,Protein-Arginine N-Methyltransferases,RNA Interference,Repressor Proteins,Signal Transduction,Transcription,Transfection|Apoptosis,Arginine,Cell Line,Tumor,Cell Transformation,Neoplastic,E2F1 Transcription Factor,Gene Expression Regulation,Humans,Methylation,Protein Methyltransferases,Protein Stability,Protein-Arginine N-Methyltransferases"
clme0975,immd0423,2,0.15476190476190477,Conference paper|Journal article,Annals of Oncology|Frontiers in Oncology,01/06/2012|,CLINICAL DIAGNOSTIC IMPLEMENTATION OF AN INNOVATIVE CANCER CARE MODEL BASED ON COMPREHENSIVE MOLECULAR PROFILING OF TUMOUR-NORMAL PAIRS|Durable Response of Spinal Chordoma to Combined Inhibition of IGF-1R and EGFR.,"Kaur K,Henderson S,Cutts A,Domingo E,Woods J,Motley C,Dougherty B,Middleton M,Hassan B,Wang Y,Beasley E,Naley M,Schuh A,Tomlinson I,Taylor J|Aleksic T,Browning L,Woodward M,Phillips R,Page S,Henderson S,Athanasou N,Ansorge O,Whitwell D,Pratap S,Hassan AB,Middleton MR,Macaulay VM",|
path0002,whgu0385,1,0.08333333333333333,Journal article,Ultramicroscopy,03/06/2014,Multimodal nanoparticles as alignment and correlation markers in fluorescence/soft X-ray cryo-microscopy/tomography of nucleoplasmic reticulum and apoptosis in mammalian cells.,"Hagen C,Werner S,Carregal-Romero S,N Malhas A,G Klupp B,Guttmann P,Rehbein S,Henzler K,C Mettenleiter T,J Vaux D,J Parak W,Schneider G,Grünewald K","Cell Nucleus,Animals,Rabbits,Saquinavir,HIV Protease Inhibitors,Tomography,X-Ray Computed,Cryoelectron Microscopy,Apoptosis,Nanotechnology,Nanoparticles"
card0018,robbins,1,0.1,Journal article,"American Journal of Physiology: Regulatory, Integrative and Comparative Physiology",01/06/2011,Endurance exercise training blunts the deleterious effect of high-fat feeding on whole body efficiency.,"Edwards LM,Holloway CJ,Murray AJ,Knight NS,Carter EE,Kemp GJ,Thompson CH,Tyler DJ,Neubauer S,Robbins PA,Clarke K","Dietary Fats,Energy Metabolism,Exercise,Fatty Acids,Humans,Male,Mitochondria,Muscle,Physical Endurance,Young Adult"
clme0220,clme0240,1,0.04,Journal article,Journal of Pathology,01/01/2011,Aberrant succination of proteins in fumarate hydratase-deficient mice and HLRCC patients is a robust biomarker of mutation status,"Bardella C,El-Bahrawy M,Frizzell N,Adam J,Ternette N,Hatipoglu E,Howarth K,O'Flaherty L,Roberts I,Turner G,Taylor J,Giaslakiotis K,Macaulay VM,Harris AL,Chandra A,Lehtonen HJ,Launonen V,Aaltonen LA,Pugh CW,Mihai R,Trudgian D,Kessler B,Baynes JW,Ratcliffe PJ,Tomlinson IP,Pollard PJ","Adult,Aged,Animals,Biomarkers,Tumor,Carcinoma,Renal Cell,Disease Models,Animal,Female,Fumarate Hydratase,Genetic Predisposition to Disease,Germ-Line Mutation,Humans,Kidney Neoplasms,Leiomyomatosis,Loss of Heterozygosity,Male,Mice,Knockout,Transgenic,Middle Aged,Neoplastic Syndromes,Hereditary,Prospective Studies,Sensitivity and Specificity,Succinic Acid"
path0089,stat0004,1,0.009174311926605505,Journal article,Nature Genetics,18/05/2015,Factors influencing success of clinical genome sequencing across a broad spectrum of disorders.,"Taylor JC,Martin HC,Lise S,Broxholme J,Cazier JB,Rimmer A,Kanapin A,Lunter G,Fiddy S,Allan C,Aricescu AR,Attar M,Babbs C,Becq J,Beeson D,Bento C,Bignell P,Blair E,Buckle VJ,Bull K,Cais O,Cario H,Chapel H,Copley RR,Cornall R,Craft J,Dahan K,Davenport EE,Dendrou C,Devuyst O,Fenwick AL,Flint J,Fugger L,Gilbert RD,Goriely A,Green A,Greger IH,Grocock R,Gruszczyk AV,Hastings R,Hatton E,Higgs D,Hill A,Holmes C,Howard M,Hughes L,Humburg P,Johnson D,Karpe F,Kingsbury Z,Kini U,Knight JC,Krohn J,Lamble S,Langman C,Lonie L,Luck J,McCarthy D,McGowan SJ,McMullin MF,Miller KA,Murray L,Németh AH,Nesbit MA,Nutt D,Ormondroyd E,Oturai AB,Pagnamenta A,Patel SY,Percy M,Petousi N,Piazza P,Piret SE,Polanco-Echeverry G,Popitsch N,Powrie F,Pugh C,Quek L,Robbins PA,Robson K,Russo A,Sahgal N,van Schouwenburg PA,Schuh A,Silverman E,Simmons A,Sørensen PS,Sweeney E,Taylor J,Thakker RV,Tomlinson I,Trebes A,Twigg SR,Uhlig HH,Vyas P,Vyse T,Wall SA,Watkins H,Whyte MP,Witty L,Wright B,Yau C,Buck D,Humphray S,Ratcliffe PJ,Bell JI,Wilkie AO,Bentley D,Donnelly P,McVean G","Humans,Genetic Diseases,Inborn,Molecular Diagnostic Techniques,Sensitivity and Specificity,DNA Mutational Analysis,Base Sequence,Polymorphism,Single Nucleotide,Genome,Human,Molecular Sequence Annotation,High-Throughput Nucleotide Sequencing"
clme0220,univ1923,1,0.058823529411764705,Journal article,Oncotarget,01/01/2015,Hypoxia induces a lipogenic cancer cell phenotype via HIF1α-dependent and -independent pathways.,"Valli A,Rodriguez M,Moutsianas L,Fischer R,Fedele V,Huang HL,Van Stiphout R,Jones D,Mccarthy M,Vinaxia M,Igarashi K,Sato M,Soga T,Buffa F,Mccullagh J,Yanes O,Harris A,Kessler B","Cell Line,Tumor,HCT116 Cells,Humans,Colorectal Neoplasms,Acetyl-CoA Carboxylase,Acetyl-CoA C-Acyltransferase,Lipids,Fatty Acids,Platelet Activating Factor,Blotting,Western,Proteomics,Genomics,Signal Transduction,Cell Hypoxia,RNA Interference,Aged,Middle Aged,Female,Male,Lipid Metabolism,Basic Helix-Loop-Helix Transcription Factors,Hypoxia-Inducible Factor 1,alpha Subunit,Metabolomics"
bioc0541,raob0069,1,0.14285714285714285,Journal article,Journal of National Cancer Institute,09/10/2013,Selective permeabilization of the blood-brain barrier at sites of metastasis.,"Connell JJ,Chatain G,Cornelissen B,Vallis KA,Hamilton A,Seymour L,Anthony DC,Sibson NR","Analysis of Variance,Animals,Antibodies,Monoclonal,Humanized,Antineoplastic Agents,Blood-Brain Barrier,Brain,Brain Neoplasms,Breast Neoplasms,Contrast Media,Disease Models,Animal,Drug Administration Schedule,Female,Gadolinium DTPA,Gene Expression Regulation,Neoplastic,Humans,Immunohistochemistry,Lymphotoxin-alpha,Magnetic Resonance Imaging,Mice,Inbred BALB C,Permeability,Receptors,Tumor Necrosis Factor,Type I,Tomography,Emission-Computed,Single-Photon,X-Ray Computed,Trastuzumab,Tumor Necrosis Factor-alpha"
claridge,whgu0139,2,0.06451612903225806,Journal article|Journal article,Nature Chemical Biology|Nature Chemical Biology,01/01/2012|01/01/2012,Oxygenase-catalyzed ribosome hydroxylation occurs in prokaryotes and humans|Oxygenase-catalyzed ribosome hydroxylation occurs in prokaryotes and humans.,"Ge W,Wolf A,Feng T,Ho C-H,Sekirnik R,Zayer A,Granatino N,Cockman ME,Loenarz C,Loik ND,Hardy AP,Claridge TDW,Hamed RB,Chowdhury R,Gong L,Robinson CV,Trudgian DC,Jiang M,Mackeen MM,Mccullagh JS,Gordiyenko Y,Thalhammer A,Yamamoto A,Yang M,Liu-Yi P,Zhang Z,Schmidt-Zachmann M,Kessler BM,Ratcliffe PJ,Preston GM,Coleman ML,Schofield CJ|Ge W,Wolf A,Feng T,Ho CH,Sekirnik R,Zayer A,Granatino N,Cockman ME,Loenarz C,Loik ND,Hardy AP,Claridge TD,Hamed RB,Chowdhury R,Gong L,Robinson CV,Trudgian DC,Jiang M,Mackeen MM,McCullagh JS,Gordiyenko Y,Thalhammer A,Yamamoto A,Yang M,Liu-Yi P,Zhang Z,Schmidt-Zachmann M,Kessler BM,Ratcliffe PJ,Preston GM,Coleman ML,Schofield CJ","|Animals,Arginine,Chromosomal Proteins,Non-Histone,Enzyme Inhibitors,Escherichia coli,Escherichia coli Proteins,Histidine,Histone Demethylases,Humans,Hydroxylation,Magnetic Resonance Spectroscopy,Mixed Function Oxygenases,Nuclear Proteins,Oxygenases,Prokaryotic Cells,Ribosomal Proteins,Ribosomes"
immd0036,whgu0085,1,0.08333333333333333,Conference paper,Journal of Medical Genetics,01/09/2011,Targeted Capture and Next Generation Sequencing (NGS) of genes involved in Inherited Retinal Degeneration (IRD),"Shanks M,Downes SM,Kwasniewska A,Packham E,Clouston P,Seller A,Copley R,Lise S,Taylor J,Hudspith K,Wilkie AOM,Ragoussis J,Nemeth AH",
